Name,URL,Language,Resource Type,Tags,State,Note 2 ,Year,Note,Organisation
 FINAL REPORT ON STATUS OF AGRICULTURE IN KHAGARIA AND SAHARSA (BIHAR)_JULY 27_2017.pdf,https://drive.google.com/file/d/1q3mKrKGkhyhgp03DCnPsjQ0yCnWLZwal/view?usp=sharing,English,Study/Report ,,Bihar,,,Regenerative Agriculture,PRADAN
10 Decimal Zameen Me Barsati Tamatar Ka Kheti,https://drive.google.com/file/d/0ByE9Mc41r3OrQ01ESktZaEhvSTA/view?usp=sharing,English,Training PPTs/materials,,,,2012,Regenerative Agriculture,PRADAN
65 Livelihood Solutions : Solar Tech ,https://drive.google.com/file/d/1TXkdZtZrqIyvSotjZgQr6fc2H7huP-oC/view?usp=sharing,English,catalogue,"Solar, Appropriate Technology, technology, livelihoods, net zero",,catalogue of solar : tech livelihood solutions possibilities over multiple value chains/ raw materials/ praducts. ,,Yes,Selco
175 Livelihood Solutions : Solar Tech ,https://drive.google.com/file/d/1gXQYKo3eFLddEraHdEjkK8AT8oxk84DF/view?usp=sharing,English,catalogue,"Solar, Appropriate Technology, technology, livelihoods, net zero",,catalogue of solar : tech livelihood solutions possibilities over multiple value chains/ raw materials/ praducts. ,,Yes,Selco
A Hidden Cost: The Pandemic Impact on Nutrition,https://drive.google.com/file/d/1HIVM_ALcXdUNrNSpfMQsgNwvIXc-I7M5/view?usp=sharing,English,,,,A Policy Note developed by Centre for Policy Research and Accountability Initiative on Impact of COVID on Nutrition and the recommendations,,,Centre for Policy Research and Accountability Initiative
A model-based exploration of farm-household livelihood and nutrition indicators to guide nutrition-sensitive agriculture interventions,https://drive.google.com/file/d/1VOl2pNE4ghg6SpXPxQElCWJfd-7sPUs4/view?usp=sharing,English,,,,,,,Food Security 2020
Abu Road livelihood & goat sub-sector study,https://drive.google.com/file/d/0ByE9Mc41r3OrMng5YXFNaUtfeG8/view?usp=sharing,English,Study/Report ,,Rajasthan,,2010,Livestock and Poultry,PRADAN
Abu Road livelihood & goat sub-sector study,https://drive.google.com/file/d/0ByE9Mc41r3OrMng5YXFNaUtfeG8/view?usp=sharing,English,,,,"Value Chain Study of Goat in Abu Road, Rajasthan",,,Pradan
Auding Local PHC,https://drive.google.com/file/d/1gPd-NiEtnUOs_3aYQqp3RP141RdQLNMt/view?usp=drive_link,English,,,,Urban  ,,,Reap Benefit
Bamboo Farming,https://drive.google.com/file/d/1MV5HTGMApd7vC4OxO9OMTmuYmUeH_DY0/view?usp=sharing,English,Document,"Bamboo, craft, fibre, Material, cultivation",,,,Yes,Industree
Blackspot Fixing ,https://drive.google.com/file/d/1WCCBLM9U-xbW_0Z4kSWAy9NEIDvqTVoF/view?usp=drive_link,English,,,,Urban  ,,,Reap Benefit
BRC Technical Manual,https://drive.google.com/file/d/11hsSzOB-VA78xm2yXw3pwQl6eUwsSiKh/view?usp=sharing,English,Book,"BRC, bio-resource center, fertilizer, pesticide, repellant, Natural Farming, Regenerative Agriculture, agriculture, Regen Agriculture",,"80 formulations of bioinputs for plant nutrition, pest management, seed treatment etc. ",,Yes,NCNF
Bridge the Information Gap,https://drive.google.com/file/d/1WCCBLM9U-xbW_0Z4kSWAy9NEIDvqTVoF/view?usp=drive_link,English,,,,Urban  ,,,Reap Benefit
Call your Representative,https://drive.google.com/file/d/1wJDartPTfH4a1AVkcBP3UOtYW2ZbpIs6/view?usp=drive_link,English,,,,Urban  ,,,Reap Benefit
Capacity building for Board of Directors - FPO,https://drive.google.com/file/d/1Pu_Rw8_T3HvgYy0W0dMeRWDaOl4QciJn/view?usp=sharing,English,,,,,,,
Chick Pea - Value Chain analysis,https://drive.google.com/file/d/0ByE9Mc41r3OrTVRGLTY4c09QVEk/view?usp=sharing,English,,,,Study on Value Chain analysis of Chickpea,,,Pradan
Chick Pea - Value Chain analysis  ,https://drive.google.com/file/d/0ByE9Mc41r3OrTVRGLTY4c09QVEk/view?usp=sharing,English,Study/Report ,,,,2010,Regenerative Agriculture,PRADAN
Community Seedbanks Doc ,https://drive.google.com/file/d/1lkFpKdW0IF6gc-1kls_B_dXItI2aV3IT/view?usp=drivesdk,English,Document,,,,,,Wassan
Compliance Calendar for 2020-21 (FPO Training),https://drive.google.com/file/d/1e-nrsgDNlHElQU5hGFjxVW3226EJURjf/view?usp=sharing,English,,,,,,,
Different Steps of Toilet Unit Construction,https://drive.google.com/file/d/0ByE9Mc41r3OrQmpwczhaOTA4dU0/view?usp=sharing,English,,,,Picture Presentation to generate awareness among community about Different steps of Toilet Unit Construction,,,PRADAN
District Research Study - Implementation & Impact of MGNREGA ,https://drive.google.com/file/d/0ByE9Mc41r3OrRENnaEpYY3pTX0k/view?usp=sharing,English,,,,District research study on implementation and impact of MGNREGA in West Bengal. ,,,PRADAN
Drip Irrigation,https://drive.google.com/file/d/1NNAe66zCZuoqzXYj1O929c2qMVmo-BEP/view?usp=drive_link,English,,,,Urban  ,,,Reap Benefit
E Cycle ,https://drive.google.com/file/d/1pE96wmiRV0gyISOAFNfgqOYONwRqRQmR/view?usp=drive_link,English,,,,Urban  ,,,Reap Benefit
